IP,Time,URL,Staus
10.131.2.1/4707,29/Nov/2017:15:40:56,GET /home.php HTTP/1.1,200
10.131.0.1/9116,29/Nov/2017:15:41:03,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1/1576,29/Nov/2017:15:41:04,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/2462,29/Nov/2017:15:41:25,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.131.0.1/9885,29/Nov/2017:15:41:26,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.0.1/7113,29/Nov/2017:15:41:34,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1/7388,29/Nov/2017:15:41:35,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/5807,29/Nov/2017:15:41:52,GET / HTTP/1.1,200
10.129.2.1/2597,29/Nov/2017:15:41:55,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.131.2.1/7986,29/Nov/2017:15:41:55,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/7046,29/Nov/2017:15:42:00,GET /home.php HTTP/1.1,200
10.131.2.1/7919,29/Nov/2017:15:42:03,GET /compiler.php HTTP/1.1,200
10.131.2.1/5381,29/Nov/2017:15:42:11,GET /home.php HTTP/1.1,200
10.131.2.1/9938,29/Nov/2017:15:42:19,GET /index.php HTTP/1.1,200
10.130.2.1/2352,29/Nov/2017:15:43:33,GET /contest.php HTTP/1.1,200
10.130.2.1/3112,29/Nov/2017:15:43:36,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.129.2.1/2817,29/Nov/2017:15:43:37,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1/9427,29/Nov/2017:15:43:40,GET /home.php HTTP/1.1,200
10.129.2.1/7067,29/Nov/2017:15:43:42,GET /contestproblem.php?name=RUET%20OJ%20TLE%20Testing%20Contest HTTP/1.1,200
10.129.2.1/8939,29/Nov/2017:15:43:55,GET /home.php HTTP/1.1,200
10.128.2.1/7074,29/Nov/2017:15:56:11,GET /home.php HTTP/1.1,200
10.128.2.1/9794,29/Nov/2017:15:56:15,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.131.0.1/2862,29/Nov/2017:15:56:16,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
